"key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull"
"702,H,1976-1980,Cadre +,11-12,Non,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"704,H,1971-1975,Je ne souhaite pas repondre,15-16,Oui,2-5,3/an,5-6 h ,Les 2,Oui,Oui,2-5,21-30,100-200 "
"705,F,1986-1990,Travailleur independant,21-22,Oui,21+,2/mois,5-6 h ,PJ,Oui,Oui,1,2 ou 3,20 "
"706,H,1981-1985,Sans activite,13-14,Non,6-10,1/mois,3-4 h ,Les 2,Oui,Oui,6-10,4-6,50-100 "
"708,H,1976-1980,En recherche d'emploi,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,31-50,100-200 "
"709,H,1986-1990,Employe,13-14,Oui,2-5,Je ne joue plus vraiment,3-4 h ,PJ,Oui,Non,0,0,0"
"710,H,1976-1980,Cadre +,11-12,Oui,11-20,1/mois,7 h +,PJ,Non,Oui,2-5,11-15,20 "
"712,H,1971-1975,Profession intermediaire,15-16,Oui,11-20,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,2-5,7-10,20 "
"713,H,1991-1995,Etudiant,13-14,Non,2-5,1/an,5-6 h ,PJ,Oui,Non,0,0,0"
"714,H,1986-1990,Cadre +,15-16,Oui,11-20,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,4-6,20-50 "
"715,H,1981-1985,Cadre +,11-12,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,100-200 "
"716,H,1961-1965,Travailleur independant,23-24,Oui,11-20,1/mois,Le week end,Les 2,Oui,Oui,6-10,4-6,20-50 "
"717,H,1991-1995,Etudiant,19-20,Oui,11-20,2/mois,7 h +,PJ,Non,Oui,1,1,20 "
"718,F,1976-1980,Profession intermediaire,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"719,H,1981-1985,Cadre +,15-16,Non,6-10,2/mois,5-6 h ,Les 2,Non,Oui,1,4-6,20 "
"720,H,1981-1985,Cadre +,19-20,Non,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"721,H,1966-1970,Je ne souhaite pas repondre,13-14,Oui,21+,2/mois,3-4 h ,Les 2,Non,Oui,16+,51+,100-200 "
"722,H,1971-1975,En recherche d'emploi,11-12,Non,21+,1/mois,7 h +,Les 2,Oui,Oui,16+,51+,500+ "
"723,H,1976-1980,Cadre +,10,Non,21+,1/mois,3-4 h ,Les 2,Oui,Oui,6-10,51+,100-200 "
"725,H,1986-1990,Cadre +,21-22,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20-50 "
"726,H,1971-1975,Cadre +,15-16,Oui,6-10,Je ne joue plus vraiment,Le week end,Les 2,Non,Oui,2-5,21-30,20 "
"729,H,1971-1975,Cadre +,11-12,Oui,21+,1/mois,7 h +,MJ,Non,Oui,16+,51+,50-100 "
"731,H,1976-1980,Cadre +,17-18,Non,6-10,1/an,Le week end,PJ,Non,Oui,1,16-20,20 "
"733,H,1976-1980,Travailleur independant,15-16,Non,11-20,3/an,3-4 h ,Les 2,Oui,Oui,2-5,16-20,50-100 "
"734,H,1976-1980,Employe,15-16,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"735,H,1971-1975,Employe,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,21-30,20-50 "
"736,H,1981-1985,Cadre +,13-14,Oui,11-20,1/an,3-4 h ,MJ,Oui,Oui,16+,51+,200-500 "
"737,H,1981-1985,Employe,17-18,Oui,6-10,1/semaine,1-2 h ,Les 2,Oui,Oui,6-10,11-15,50-100 "
"739,F,1981-1985,Cadre +,10,Oui,6-10,1/an,5-6 h ,PJ,Oui,Oui,1,4-6,20 "
"741,F,1986-1990,Cadre +,15-16,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,50-100 "
"744,H,1976-1980,Cadre +,10,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"745,H,1966-1970,Cadre +,11-12,Non,6-10,Je ne joue plus vraiment,7 h +,Les 2,Oui,Oui,2-5,31-50,50-100 "
"746,H,1976-1980,Employe,13-14,Oui,11-20,3/an,3-4 h ,Les 2,Non,Oui,6-10,31-50,50-100 "
"748,H,1976-1980,Travailleur independant,13-14,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"749,H,1976-1980,Cadre +,13-14,Non,2-5,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,7-10,20 "
"750,F,1986-1990,En recherche d'emploi,21-22,Non,2-5,Je ne joue plus vraiment,3-4 h ,PJ,Oui,Non,0,0,0"
"755,F,1986-1990,Cadre +,19-20,Non,6-10,1/mois,5-6 h ,Les 2,Non,Oui,2-5,4-6,50-100 "
"756,H,1986-1990,Employe,15-16,Non,2-5,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,4-6,20-50 "
"757,F,1976-1980,Cadre +,15-16,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,16+,51+,100-200 "
"758,H,1981-1985,En recherche d'emploi,11-12,Oui,11-20,2/mois,3-4 h ,Les 2,Non,Oui,2-5,4-6,50-100 "
"760,F,1971-1975,Travailleur independant,23-24,Oui,2-5,1/mois,3-4 h ,PJ,Non,Oui,1,1,20 "
"761,H,1976-1980,Cadre +,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"763,F,1981-1985,Sans activite,21-22,Non,2-5,1/semaine,1-2 h ,PJ,Non,Non,0,0,0"
"764,H,1991-1995,Je ne souhaite pas repondre,15-16,Oui,6-10,1/semaine,Le week end,PJ,Oui,Oui,1,2 ou 3,50-100 "
"765,F,1976-1980,Employe,25-30,Oui,6-10,3/an,5-6 h ,PJ,Oui,Non,0,0,0"
"766,H,1986-1990,Cadre +,23-24,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,4-6,100-200 "
"767,H,1971-1975,Cadre +,15-16,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,11-15,31-50,200-500 "
"768,H,1991-1995,Etudiant,10,Oui,11-20,2/mois,7 h +,Les 2,Non,Oui,2-5,21-30,100-200 "
"769,H,1976-1980,Ouvrier,13-14,Oui,2-5,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"770,H,1966-1970,Travailleur independant,13-14,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,16+,31-50,20-50 "
"771,H,1986-1990,Je ne souhaite pas repondre,11-12,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,16-20,100-200 "
"772,F,1986-1990,Profession intermediaire,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,50-100 "
"773,F,1981-1985,Cadre +,19-20,Oui,6-10,1/semaine,1-2 h ,PJ,Non,Oui,2-5,4-6,20 "
"774,F,1976-1980,Cadre +,13-14,Oui,11-20,1/mois,7 h +,PJ,Oui,Oui,2-5,21-30,100-200 "
"775,H,1961-1965,Profession intermediaire,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"776,F,1981-1985,Employe,13-14,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,1,20-50 "
"777,H,1971-1975,Sans activite,15-16,Non,11-20,3/an,3-4 h ,MJ,Non,Oui,11-15,31-50,20 "
"778,H,1991-1995,Etudiant,13-14,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,2-5,7-10,20-50 "
"779,H,1971-1975,Employe,13-14,Oui,2-5,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,51+,100-200 "
"780,H,1981-1985,Employe,15-16,Oui,21+,1/mois,3-4 h ,Les 2,Non,Oui,2-5,11-15,20-50 "
"781,H,1991-1995,Etudiant,17-18,Non,2-5,3/an,5-6 h ,Les 2,Non,Oui,1,2 ou 3,20 "
"784,H,1961-1965,Cadre +,17-18,Oui,21+,1/an,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"785,H,1986-1990,Employe,13-14,Oui,2-5,3/an,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"786,H,1986-1990,Employe,17-18,Non,6-10,Je ne joue plus vraiment,3-4 h ,PJ,Oui,Oui,2-5,2 ou 3,20-50 "
"787,H,1986-1990,Employe,10,Oui,11-20,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,6-10,21-30,20 "
"788,H,1991-1995,Etudiant,17-18,Oui,2-5,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"789,H,1976-1980,Ouvrier,15-16,Non,2-5,Je ne joue plus vraiment,1-2 h ,PJ,Non,Oui,2-5,2 ou 3,20-50 "
"790,H,1971-1975,Cadre +,11-12,Oui,21+,1/mois,7 h +,Les 2,Non,Oui,16+,51+,50-100 "
"791,H,1971-1975,En recherche d'emploi,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"792,H,1976-1980,Cadre +,10,Non,11-20,1/semaine,7 h +,Les 2,Non,Oui,6-10,51+,50-100 "
"793,H,1966-1970,Ouvrier,11-12,Oui,21+,Je ne joue plus vraiment,Le week end,Les 2,Oui,Oui,6-10,21-30,20 "
"795,H,1976-1980,Cadre +,15-16,Oui,11-20,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,31-50,50-100 "
"796,H,1986-1990,Cadre +,15-16,Oui,11-20,3/an,5-6 h ,Les 2,Oui,Oui,2-5,16-20,50-100 "
"797,F,1981-1985,Employe,15-16,Oui,6-10,1/mois,7 h +,Les 2,Oui,Oui,1,31-50,20 "
"798,H,1981-1985,En recherche d'emploi,19-20,Oui,6-10,3/an,5-6 h ,Les 2,Non,Oui,6-10,21-30,20-50 "
"799,H,1971-1975,Cadre +,13-14,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,11-15,51+,200-500 "
"800,H,1976-1980,Profession intermediaire,10,Oui,21+,3/an,7 h +,Les 2,Non,Oui,6-10,51+,20 "
"801,H,1976-1980,Cadre +,13-14,Non,21+,1/mois,7 h +,Les 2,Oui,Oui,16+,51+,50-100 "
"802,H,1976-1980,Cadre +,13-14,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,20 "
"803,H,1976-1980,Cadre +,10,Oui,11-20,3/an,Le week end,Les 2,Non,Oui,16+,51+,100-200 "
"805,H,1976-1980,Cadre +,10,Non,6-10,1/semaine,5-6 h ,PJ,Non,Oui,16+,51+,200-500 "
"807,H,1986-1990,Employe,15-16,Oui,11-20,3/an,7 h +,Les 2,Non,Oui,1,7-10,20 "
"808,H,1991-1995,Etudiant,17-18,Oui,11-20,1/semaine,7 h +,MJ,Oui,Oui,2-5,4-6,20 "
"809,H,1966-1970,Cadre +,13-14,Non,21+,2/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ "
"810,H,1961-1965,Employe,13-14,Non,21+,3/an,7 h +,Les 2,Non,Oui,6-10,21-30,20-50 "
"811,H,1991-1995,Je ne souhaite pas repondre,17-18,Oui,11-20,1/mois,7 h +,Les 2,Non,Oui,2-5,4-6,20-50 "
"814,H,1981-1985,Employe,13-14,Non,2-5,2/mois,5-6 h ,PJ,Non,Oui,2-5,2 ou 3,20-50 "
"815,H,1991-1995,Etudiant,13-14,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,7-10,100-200 "
"817,H,1986-1990,Etudiant,15-16,Oui,6-10,1/an,3-4 h ,MJ,Oui,Oui,6-10,11-15,20-50 "
"819,H,1966-1970,Profession intermediaire,13-14,Oui,21+,1/semaine,5-6 h ,Les 2,Non,Oui,16+,51+,200-500 "
"820,H,1976-1980,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"821,H,1981-1985,Employe,17-18,Oui,11-20,3/an,5-6 h ,Les 2,Oui,Oui,6-10,31-50,20-50 "
"822,H,1976-1980,Travailleur independant,13-14,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"823,H,1971-1975,Cadre +,17-18,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,20-50 "
"824,H,1976-1980,Travailleur independant,19-20,Non,6-10,3/an,5-6 h ,PJ,Non,Non,0,0,0"
"826,H,1971-1975,Employe,17-18,Non,6-10,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,7-10,50-100 "
"827,H,1966-1970,Travailleur independant,13-14,Non,21+,1/mois,5-6 h ,MJ,Oui,Oui,16+,51+,200-500 "
"828,H,1996-2000,Etudiant,11-12,Oui,6-10,1/semaine,5-6 h ,Les 2,Non,Oui,1,1,20 "
"829,H,1991-1995,Etudiant,13-14,Oui,11-20,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,51+,100-200 "
"831,F,1976-1980,Cadre +,25-30,Non,6-10,3/an,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"832,H,1971-1975,Employe,17-18,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,100-200 "
"833,H,1986-1990,Employe,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,2-5,21-30,200-500 "
"834,H,1976-1980,Travailleur independant,11-12,Non,11-20,1/mois,7 h +,Les 2,Oui,Oui,6-10,21-30,50-100 "
"835,H,1966-1970,Cadre +,15-16,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,50-100 "
"836,H,1976-1980,Cadre +,13-14,Oui,11-20,1/mois,5-6 h ,PJ,Non,Oui,6-10,16-20,20 "
"837,H,1991-1995,Etudiant,13-14,Oui,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,11-15,20-50 "
"838,H,1991-1995,Etudiant,11-12,Non,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,16-20,50-100 "
"839,H,1971-1975,Profession intermediaire,11-12,Oui,21+,1/semaine,7 h +,Les 2,Non,Oui,16+,51+,100-200 "
"840,H,1991-1995,Etudiant,13-14,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,4-6,50-100 "
"842,H,1991-1995,Employe,13-14,Oui,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,1,2 ou 3,100-200 "
"844,H,1981-1985,Employe,17-18,Non,2-5,1/mois,5-6 h ,PJ,Non,Non,0,0,0"
"845,H,1976-1980,Employe,13-14,Oui,21+,1/mois,7 h +,Les 2,Non,Oui,6-10,51+,100-200 "
"847,H,1976-1980,Travailleur independant,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,6-10,51+,50-100 "
"848,H,1986-1990,Employe,15-16,Oui,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,16-20,100-200 "
"849,H,1960 ou avant,Retraite,19-20,Oui,11-20,2/mois,7 h +,Les 2,Oui,Oui,6-10,31-50,50-100 "
"851,F,1981-1985,Cadre +,15-16,Oui,11-20,3/an,5-6 h ,PJ,Oui,Oui,2-5,7-10,20-50 "
"853,F,1981-1985,Cadre +,17-18,Non,6-10,2/mois,5-6 h ,PJ,Non,Oui,1,11-15,50-100 "
"854,F,1996-2000,Etudiant,15-16,Non,2-5,1/mois,5-6 h ,PJ,Oui,Non,0,0,0"
"855,H,1976-1980,Employe,10,Oui,21+,1/semaine,3-4 h ,Les 2,Non,Oui,2-5,7-10,20-50 "
"856,H,1976-1980,Employe,19-20,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,21-30,100-200 "
"857,H,1971-1975,Employe,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,51+,50-100 "
"860,H,1976-1980,Employe,13-14,Non,11-20,1/semaine,Le week end,Les 2,Non,Oui,6-10,11-15,20 "
"861,H,1976-1980,Profession intermediaire,25-30,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,2-5,21-30,100-200 "
"862,H,1986-1990,En recherche d'emploi,19-20,Oui,2-5,1/mois,3-4 h ,PJ,Oui,Oui,1,1,20-50 "
"863,H,1981-1985,Employe,17-18,Oui,21+,1/an,5-6 h ,Les 2,Non,Oui,6-10,16-20,50-100 "
"864,F,1981-1985,Cadre +,21-22,Oui,21+,2/mois,5-6 h ,PJ,Oui,Oui,11-15,51+,200-500 "
"866,H,1971-1975,Cadre +,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"868,H,1986-1990,Employe,17-18,Non,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,21-30,50-100 "
"869,H,1986-1990,Etudiant,11-12,Oui,6-10,2/mois,3-4 h ,Les 2,Non,Oui,6-10,31-50,100-200 "
"872,H,1976-1980,Cadre +,19-20,Oui,6-10,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,6-10,31-50,20 "
"874,H,1971-1975,Cadre +,13-14,Non,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"875,H,1986-1990,En recherche d'emploi,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,31-50,200-500 "
"876,H,1971-1975,Profession intermediaire,15-16,Oui,21+,3/an,5-6 h ,MJ,Oui,Oui,2-5,11-15,20-50 "
"877,F,1991-1995,Etudiant,17-18,Non,2-5,3/an,5-6 h ,PJ,Non,Non,0,0,0"
"878,H,1986-1990,Employe,15-16,Non,11-20,1/an,7 h +,Les 2,Non,Non,0,0,0"
"879,H,1971-1975,Profession intermediaire,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,51+,100-200 "
"880,H,1976-1980,Cadre +,15-16,Oui,2-5,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,2-5,4-6,20 "
"881,F,1991-1995,Travailleur independant,15-16,Oui,11-20,1/semaine,5-6 h ,PJ,Oui,Oui,2-5,7-10,100-200 "
"882,H,1986-1990,En recherche d'emploi,13-14,Oui,11-20,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"883,H,1981-1985,Cadre +,10,Oui,11-20,1/an,7 h +,Les 2,Non,Oui,6-10,51+,20 "
"884,H,1986-1990,Employe,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"887,H,1976-1980,Cadre +,15-16,Non,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,500+ "
"890,H,1991-1995,Etudiant,13-14,Oui,11-20,1/mois,3-4 h ,PJ,Oui,Oui,2-5,2 ou 3,20-50 "
"891,H,1986-1990,En recherche d'emploi,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,2-5,7-10,20 "
"892,H,1981-1985,Employe,10,Oui,6-10,1/mois,3-4 h ,Les 2,Non,Oui,2-5,16-20,20-50 "
"893,H,1971-1975,Cadre +,13-14,Non,21+,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"894,F,1986-1990,Cadre +,10,Non,11-20,1/semaine,Le week end,Les 2,Oui,Oui,6-10,16-20,100-200 "
"895,H,1981-1985,Cadre +,15-16,Oui,21+,3/an,5-6 h ,Les 2,Non,Oui,16+,51+,200-500 "
"896,H,1991-1995,En recherche d'emploi,11-12,Oui,2-5,2/mois,1-2 h ,Les 2,Non,Non,0,0,0"
"897,F,1981-1985,Employe,13-14,Oui,21+,2/mois,5-6 h ,PJ,Non,Oui,2-5,4-6,20 "
"899,H,1976-1980,Employe,15-16,Oui,21+,3/an,5-6 h ,Les 2,Non,Oui,11-15,51+,20-50 "
"900,H,1966-1970,Profession intermediaire,17-18,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,20-50 "
"901,H,1976-1980,Employe,15-16,Oui,21+,2/mois,7 h +,Les 2,Non,Oui,6-10,16-20,20-50 "
"902,F,1981-1985,Travailleur independant,19-20,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,50-100 "
"903,H,1971-1975,Travailleur independant,15-16,Oui,11-20,1/mois,5-6 h ,MJ,Non,Oui,16+,31-50,20-50 "
"904,H,1981-1985,Travailleur independant,11-12,Oui,11-20,3/an,5-6 h ,Les 2,Non,Oui,11-15,31-50,50-100 "
"905,H,1976-1980,Cadre +,13-14,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,100-200 "
"907,H,1976-1980,Je ne souhaite pas repondre,11-12,Oui,21+,3/an,7 h +,Les 2,Oui,Oui,6-10,51+,50-100 "
"908,H,1966-1970,Cadre +,11-12,Oui,11-20,3/an,5-6 h ,Les 2,Non,Oui,6-10,31-50,50-100 "
"909,H,1976-1980,Employe,11-12,Non,21+,1/mois,7 h +,Les 2,Non,Oui,16+,16-20,100-200 "
"911,H,1986-1990,En recherche d'emploi,17-18,Oui,6-10,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20 "
"912,H,1986-1990,Employe,19-20,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,31-50,50-100 "
"913,H,1976-1980,Employe,10,Oui,11-20,1/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,20-50 "
"915,H,1996-2000,Etudiant,11-12,Non,2-5,1/semaine,3-4 h ,Les 2,Non,Oui,16+,7-10,20-50 "
"918,H,1981-1985,Employe,11-12,Non,6-10,1/an,7 h +,Les 2,Non,Oui,2-5,21-30,20 "
"919,H,1971-1975,Sans activite,17-18,Oui,6-10,3/an,7 h +,Les 2,Non,Oui,2-5,21-30,20 "
"920,H,1981-1985,Employe,15-16,Non,21+,1/semaine,5-6 h ,Les 2,Non,Oui,6-10,21-30,200-500 "
"921,H,1981-1985,Cadre +,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,51+,200-500 "
"922,H,1971-1975,Cadre +,11-12,Non,11-20,3/an,5-6 h ,Les 2,Non,Oui,11-15,51+,100-200 "
"923,H,1976-1980,Employe,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,16+,51+,100-200 "
"924,H,1971-1975,Employe,10,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"925,H,1981-1985,Employe,23-24,Non,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,2 ou 3,20 "
"927,H,1966-1970,Cadre +,13-14,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,7-10,50-100 "
"929,H,1976-1980,Cadre +,13-14,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,31-50,20-50 "
"930,H,1986-1990,Cadre +,11-12,Oui,6-10,1/mois,5-6 h ,PJ,Non,Oui,2-5,2 ou 3,20 "
"931,H,1986-1990,Travailleur independant,17-18,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,7-10,100-200 "
"932,H,1976-1980,Profession intermediaire,11-12,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,51+,100-200 "
"933,H,1966-1970,Profession intermediaire,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,16-20,200-500 "
"934,H,1981-1985,Travailleur independant,10,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,31-50,100-200 "
"936,H,1976-1980,Profession intermediaire,13-14,Non,11-20,2/mois,3-4 h ,Les 2,Non,Oui,2-5,51+,100-200 "
"937,H,1976-1980,Cadre +,11-12,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,2-5,11-15,200-500 "
"939,H,1986-1990,Cadre +,17-18,Oui,11-20,2/mois,7 h +,Les 2,Oui,Oui,2-5,11-15,20-50 "
"940,H,1976-1980,Cadre +,10,Oui,21+,1/semaine,5-6 h ,MJ,Oui,Oui,16+,51+,500+ "
"941,H,1991-1995,En recherche d'emploi,15-16,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,11-15,31-50,500+ "
"942,H,1981-1985,Cadre +,11-12,Oui,11-20,3/an,7 h +,Les 2,Non,Oui,2-5,51+,100-200 "
"943,H,1971-1975,Cadre +,13-14,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,20 "
"944,H,1986-1990,Employe,15-16,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,16-20,100-200 "
"945,H,1981-1985,Employe,17-18,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,21-30,200-500 "
"946,H,1971-1975,Cadre +,13-14,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,51+,50-100 "
"947,H,1976-1980,Travailleur independant,11-12,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,16+,31-50,50-100 "
"948,H,1991-1995,Etudiant,13-14,Non,6-10,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,2-5,7-10,20 "
"950,H,1991-1995,Etudiant,15-16,Non,2-5,1/semaine,3-4 h ,Les 2,Non,Non,0,0,0"
"951,H,1981-1985,Etudiant,17-18,Oui,11-20,1/mois,5-6 h ,PJ,Non,Oui,6-10,21-30,100-200 "
"952,H,1991-1995,Etudiant,10,Oui,6-10,2/mois,5-6 h ,MJ,Non,Oui,1,1,20 "
"953,H,1971-1975,Employe,13-14,Non,21+,2/mois,3-4 h ,Les 2,Non,Oui,16+,51+,200-500 "
"955,H,1981-1985,Employe,15-16,Oui,21+,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,4-6,20 "
"958,H,1971-1975,Employe,13-14,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,6-10,51+,200-500 "
"959,H,1971-1975,Cadre +,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"961,H,1961-1965,Profession intermediaire,17-18,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,11-15,51+,200-500 "
"962,H,1991-1995,Ouvrier,15-16,Oui,11-20,2/mois,3-4 h ,PJ,Oui,Oui,1,1,20 "
"965,H,1971-1975,Travailleur independant,11-12,Oui,6-10,Je ne joue plus vraiment,Le week end,PJ,Non,Oui,11-15,51+,20-50 "
"966,H,1966-1970,Cadre +,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"967,H,1991-1995,Etudiant,19-20,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Non,0,0,0"
"968,H,1976-1980,Cadre +,13-14,Non,11-20,1/mois,3-4 h ,MJ,Non,Oui,11-15,51+,200-500 "
"969,H,1986-1990,Cadre +,17-18,Oui,21+,3/an,7 h +,Les 2,Oui,Oui,1,2 ou 3,20 "
"970,H,1971-1975,Cadre +,13-14,Non,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"971,H,1976-1980,Cadre +,11-12,Oui,21+,2/mois,5-6 h ,Les 2,Non,Oui,6-10,51+,100-200 "
"972,H,1976-1980,Cadre +,15-16,Oui,6-10,3/an,5-6 h ,PJ,Oui,Oui,16+,51+,100-200 "
"973,H,1971-1975,Profession intermediaire,19-20,Oui,2-5,Je ne joue plus vraiment,5-6 h ,MJ,Oui,Oui,2-5,31-50,100-200 "
"974,H,1981-1985,Employe,11-12,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,6-10,51+,50-100 "
"975,H,1991-1995,Etudiant,15-16,Oui,11-20,3/an,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
